id,ident,type,name,latitude,longitude,elevation_ft,iso_region,city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
311558,ID-0156,small_airport,Turimo Airstrip,-3.2735,137.558,286,ID-PA,Turimo,0,,,TUR,,,WT51,0,2014-04-05T14:26:04+00:00
311561,ID-0157,small_airport,Waff Airstrip,-2.3307,138.7489,255,ID-PA,Waff,0,,,,,,WT55,0,2014-04-05T15:15:09+00:00
311564,ID-0158,small_airport,Walerek Airstrip,-3.9925,139.4907,2420,ID-PA,Walerek,0,,,WEL,,,WT58,0,2014-04-05T16:02:02+00:00
311630,ID-0159,small_airport,Walma Airstrip,-4.2179,139.3936,6400,ID-PA,Walma,0,,,WAL,,,,0,2014-04-12T11:03:49+00:00
311632,ID-0160,small_airport,Wandama Airstrip,-4.5472,138.55225,761,ID-PA,Wandama,0,,,,,,WT61,0,2014-04-12T13:51:35+00:00
311634,ID-0161,small_airport,Wanggemalu Airstrip,-5.4974,139.9783,219,ID-PA,Wanggemalu,0,,,WNG,,,WT62,0,2014-04-12T14:13:11+00:00
311640,ID-0162,small_airport,Wolo Airstrip,-3.8505,138.8603,5870,ID-PA,Wolo,0,,,WOL,,,WT68,0,2014-04-12T16:27:38+00:00
311641,ID-0163,small_airport,Wunin Airstrip,-3.650672,135.554162,5385,ID-PA,Wunin,0,,,WUN,,,WT70,0,2018-11-03T13:55:24+00:00
311643,ID-0164,small_airport,Yaniruma Airstrip,-5.4206,139.8197,155,ID-PA,Yaniruma,0,,,,,,WT71,0,2014-04-13T00:35:13+00:00
311645,ID-0165,small_airport,Yapil Airstrip,-4.5407,140.5667,4470,ID-PA,Yapil,0,,,YAP,,,WT73,0,2014-04-13T01:04:17+00:00
311647,ID-0166,small_airport,Yigi Airstrip,-4.2278,138.3934,6100,ID-PA,Yigi,0,,,YIG,,,WT74,0,2014-04-13T02:30:31+00:00
311649,ID-0167,small_airport,Yogosem Airstrip,-4.24765,139.1691,8200,ID-PA,Yogosem,0,,,,,,WT75,0,2014-04-13T02:46:32+00:00
